db_name,hex,h,s,v
air_force_blue_raf,#5d8aa8,0.5666666666666667,0.4464285714285714,0.6588235294117647
air_force_blue_usaf,#00308f,0.6107226107226107,1.0,0.5607843137254902
air_superiority_blue,#72a0c1,0.569620253164557,0.4093264248704663,0.7568627450980392
alabama_crimson,#a32638,0.976,0.7668711656441717,0.6392156862745098
alice_blue,#f0f8ff,0.5777777777777778,0.0588235294117647,1.0
alizarin_crimson,#e32636,0.9858906525573192,0.8325991189427312,0.8901960784313725
alloy_orange,#c46210,0.0759259259259259,0.9183673469387756,0.7686274509803922
almond,#efdecd,0.0833333333333333,0.1422594142259413,0.9372549019607844
amaranth,#e52b50,0.9668458781362008,0.8122270742358079,0.8980392156862745
amber,#ffbf00,0.1248366013071895,1.0,1.0
amber_sae_ece,#ff7e00,0.0823529411764705,1.0,1.0
american_rose,#ff033e,0.960978835978836,0.9882352941176472,1.0
amethyst,#96c,0.75,0.5,0.8
android_green,#a4c639,0.2068557919621749,0.7121212121212122,0.7764705882352941
anti_flash_white,#f2f3f4,0.5833333333333345,0.0081967213114754,0.9568627450980391
antique_brass,#cd9575,0.0606060606060606,0.4292682926829269,0.803921568627451
antique_fuchsia,#915c83,0.8773584905660378,0.3655172413793103,0.5686274509803921
antique_ruby,#841b2d,0.9714285714285714,0.7954545454545454,0.5176470588235295
antique_white,#faebd7,0.0952380952380951,0.1399999999999999,0.9803921568627452
ao_english,#008000,0.3333333333333333,1.0,0.5019607843137255
apple_green,#8db600,0.2042124542124542,1.0,0.7137254901960784
apricot,#fbceb1,0.0653153153153153,0.294820717131474,0.984313725490196
aqua,#0ff,0.5,1.0,1.0
aquamarine,#7fffd4,0.4440104166666667,0.5019607843137255,1.0
army_green,#4b5320,0.1928104575163398,0.6144578313253012,0.3254901960784314
arsenic,#3b444b,0.5729166666666666,0.2133333333333333,0.2941176470588235
arylide_yellow,#e9d66b,0.1415343915343915,0.5407725321888411,0.9137254901960784
ash_grey,#b2beb5,0.3750000000000002,0.0631578947368421,0.7450980392156863
asparagus,#87a96b,0.2580645161290322,0.3668639053254438,0.6627450980392157
atomic_tangerine,#f96,0.0555555555555555,0.6,1.0
auburn,#a52a2a,0.0,0.7454545454545455,0.6470588235294118
aureolin,#fdee00,0.1567852437417654,1.0,0.992156862745098
aurometalsaurus,#6e7f80,0.5092592592592592,0.1406249999999999,0.5019607843137255
avocado,#568203,0.2244094488188976,0.9769230769230768,0.5098039215686274
azure,#007fff,0.5836601307189543,1.0,1.0
azure_mist_web,#f0ffff,0.5,0.0588235294117647,1.0
baby_blue,#89cff0,0.5533980582524272,0.4291666666666667,0.9411764705882352
baby_blue_eyes,#a1caf1,0.5812499999999999,0.3319502074688796,0.9450980392156862
baby_pink,#f4c2c2,0.0,0.2049180327868853,0.9568627450980391
ball_blue,#21abcd,0.5329457364341086,0.8390243902439025,0.803921568627451
banana_mania,#fae7b5,0.1207729468599034,0.2759999999999999,0.9803921568627452
banana_yellow,#ffe135,0.1419141914191419,0.792156862745098,1.0
barn_red,#7c0a02,0.0109289617486338,0.9838709677419354,0.4862745098039215
battleship_grey,#848482,0.1666666666666666,0.0151515151515153,0.5176470588235295
bazaar,#98777b,0.9797979797979798,0.2171052631578947,0.596078431372549
beau_blue,#bcd4e6,0.5714285714285714,0.1826086956521738,0.9019607843137256
beaver,#9f8170,0.0602836879432623,0.2955974842767295,0.6235294117647059
beige,#f5f5dc,0.1666666666666666,0.1020408163265305,0.9607843137254902
big_dip_o_ruby,#9c2542,0.9593837535014006,0.7628205128205128,0.611764705882353
bisque,#ffe4c4,0.0903954802259887,0.2313725490196078,1.0
bistre,#3d2b1f,0.0666666666666666,0.4918032786885246,0.2392156862745098
bittersweet,#fe6f5e,0.0177083333333333,0.6299212598425197,0.996078431372549
bittersweet_shimmer,#bf4f51,0.9970238095238096,0.5863874345549738,0.7490196078431373
black,#000,0.0,0.0,0.0
black_bean,#3d0c02,0.0282485875706214,0.9672131147540984,0.2392156862745098
black_leather_jacket,#253529,0.375,0.3018867924528302,0.2078431372549019
black_olive,#3b3c36,0.1944444444444443,0.1,0.2352941176470588
blanched_almond,#ffebcd,0.0999999999999999,0.196078431372549,1.0
blast_off_bronze,#a57164,0.0333333333333333,0.393939393939394,0.6470588235294118
bleu_de_france,#318ce7,0.5833333333333334,0.7878787878787878,0.9058823529411764
blizzard_blue,#ace5ee,0.5227272727272727,0.2773109243697478,0.9333333333333332
blond,#faf0be,0.1388888888888889,0.2399999999999999,0.9803921568627452
blue,#00f,0.6666666666666666,1.0,1.0
blue_bell,#a2a2d0,0.6666666666666666,0.2211538461538462,0.8156862745098039
blue_crayola,#1f75fe,0.6023916292974589,0.8779527559055118,0.996078431372549
blue_gray,#69c,0.5833333333333334,0.5,0.8
blue_green,#0d98ba,0.5327552986512524,0.9301075268817204,0.7294117647058823
blue_munsell,#0093af,0.5266666666666667,1.0,0.6862745098039216
blue_ncs,#0087bd,0.5476190476190476,1.0,0.7411764705882353
blue_pigment,#339,0.6666666666666666,0.6666666666666666,0.6
blue_ryb,#0247fe,0.621031746031746,0.9921259842519684,0.996078431372549
blue_sapphire,#126180,0.546969696969697,0.859375,0.5019607843137255
blue_violet,#8a2be2,0.7531876138433516,0.8097345132743362,0.8862745098039215
blush,#de5d83,0.950904392764858,0.581081081081081,0.8705882352941177
bole,#79443b,0.0241935483870967,0.512396694214876,0.4745098039215686
bondi_blue,#0095b6,0.5302197802197802,1.0,0.7137254901960784
bone,#e3dac9,0.1089743589743589,0.1145374449339206,0.8901960784313725
boston_university_red,#c00,0.0,1.0,0.8
bottle_green,#006a4e,0.4559748427672956,1.0,0.4156862745098039
boysenberry,#873260,0.9098039215686274,0.6296296296296297,0.5294117647058824
brandeis_blue,#0070ff,0.5934640522875817,1.0,1.0
brass,#b5a642,0.144927536231884,0.6353591160220994,0.7098039215686275
brick_red,#cb4154,0.9770531400966184,0.6798029556650246,0.796078431372549
bright_cerulean,#1dacd6,0.5378378378378378,0.8644859813084111,0.8392156862745098
bright_green,#6f0,0.2666666666666666,1.0,1.0
bright_lavender,#bf94e4,0.75625,0.3508771929824561,0.8941176470588236
bright_maroon,#c32148,0.9598765432098766,0.8307692307692308,0.7647058823529411
bright_pink,#ff007f,0.9169934640522877,1.0,1.0
bright_turquoise,#08e8de,0.4925595238095238,0.9655172413793104,0.9098039215686274
bright_ube,#d19fe8,0.7808219178082192,0.3146551724137931,0.9098039215686274
brilliant_lavender,#f4bbff,0.806372549019608,0.2666666666666667,1.0
